loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,revol_bal,revol_util,total_acc,longest_credit_length
29033,36 months,16.36,602.91,C,6 years,MORTGAGE,92733.26,Fully Paid,home_improvement,4.07,6,779,689,5,9944,54.76,8,4
15785,60 months,21.95,414.92,D,4 years,RENT,152037.56,Default,major_purchase,5.53,1,638,712,6,28483,93.27,17,40
36895,36 months,11.33,696.58,E,8 years,MORTGAGE,65519.97,Charged Off,major_purchase,7.07,1,629,750,6,33214,37.65,13,23
24900,60 months,5.17,231.72,B,2 years,OWN,128984.67,Charged Off,debt_consolidation,3.66,9,700,754,3,38065,40.41,29,7
1113,60 months,9.59,709.19,A,4 years,OWN,99266.72,Charged Off,major_purchase,21.02,2,769,835,4,19975,91.01,43,27
24582,36 months,10.44,203.81,D,3 years,OTHER,64610.93,Fully Paid,debt_consolidation,18.29,4,724,672,8,11318,95.69,36,27
2996,60 months,7.9,884.36,G,3 years,OWN,58039.13,Default,home_improvement,25.45,1,686,845,0,40242,53.18,20,10
4663,60 months,19.82,229.3,C,8 years,OWN,175421.89,Fully Paid,credit_card,5.09,9,719,719,9,31771,53.24,27,14
6584,60 months,20.9,497.51,D,10+ years,OWN,129692.75,Fully Paid,debt_consolidation,14.7,6,672,828,7,35914,82.88,24,45
11931,60 months,16.33,491.48,A,10+ years,MORTGAGE,77587.35,Charged Off,credit_card,15.09,3,678,674,4,29323,68.77,21,39
15797,60 months,15.39,777.06,F,1 year,OWN,134649.07,Charged Off,small_business,4.94,6,815,617,2,43594,74.29,26,46
23280,36 months,6.26,838.2,F,9 years,OWN,176258.69,Charged Off,small_business,8.93,3,792,702,5,45422,62.27,31,34
9771,60 months,18.41,229.66,D,1 year,OWN,111310.8,Default,credit_card,20.2,1,793,817,6,35901,46.94,7,45
12310,60 months,7.63,371.97,D,8 years,OTHER,136494.79,Charged Off,small_business,25.27,1,726,672,9,10528,30.73,32,22
33597,36 months,19.05,447.75,C,5 years,RENT,110572.31,Fully Paid,credit_card,29.88,8,745,648,9,44326,66.42,14,44
39195,36 months,10.33,903.7,C,2 years,MORTGAGE,184375.71,Charged Off,small_business,25.21,8,818,682,2,31639,53.06,49,25
11667,36 months,11.49,846.79,E,2 years,OWN,141623.34,Default,home_improvement,11.23,0,823,818,8,6751,20.76,46,22
16758,60 months,16.84,74.63,G,3 years,OWN,61137.35,Fully Paid,home_improvement,22.1,3,784,774,7,20758,47.81,45,14
29854,36 months,8.08,823.45,F,8 years,OWN,65120.0,Fully Paid,credit_card,7.76,2,813,736,2,27630,17.24,40,2
7690,36 months,17.1,703.65,B,9 years,OWN,166914.87,Fully Paid,debt_consolidation,1.92,3,724,661,6,48917,36.67,26,49
24017,60 months,5.32,707.52,D,5 years,RENT,102976.97,Default,debt_consolidation,1.33,9,664,802,1,45456,4.69,14,26
17926,36 months,5.03,953.97,F,6 years,OTHER,137543.59,Default,major_purchase,8.6,1,776,719,2,26019,33.66,13,3
37092,60 months,10.15,864.71,D,4 years,OTHER,43739.86,Charged Off,small_business,25.43,2,782,767,9,19434,21.69,48,10
2518,60 months,10.93,669.74,B,5 years,OTHER,139213.32,Default,small_business,12.93,8,640,601,3,22650,60.45,46,11
39975,60 months,13.21,674.78,C,6 years,RENT,105876.77,Default,debt_consolidation,19.73,6,777,684,7,15814,83.67,29,26
14364,36 months,17.68,358.56,G,2 years,RENT,24435.15,Default,credit_card,21.54,5,815,746,8,34566,33.69,18,27
34322,36 months,8.81,645.81,B,6 years,OTHER,169147.3,Charged Off,small_business,12.49,2,774,779,0,27901,42.17,29,10
25883,60 months,23.34,328.64,F,< 1 year,MORTGAGE,183103.99,Default,debt_consolidation,22.83,9,829,669,2,6804,16.97,27,17
38466,36 months,20.52,416.14,D,3 years,RENT,195076.91,Fully Paid,credit_card,4.66,0,729,751,7,47211,41.94,30,13
2352,36 months,17.18,134.2,A,5 years,OWN,106582.07,Charged Off,home_improvement,23.25,8,849,615,9,41460,53.85,41,45
11551,36 months,9.37,512.84,C,8 years,MORTGAGE,43367.88,Default,home_improvement,7.13,0,750,821,1,20629,49.84,15,14
20355,60 months,16.8,743.41,A,4 years,OTHER,74500.19,Fully Paid,small_business,19.45,6,809,839,4,2953,59.53,46,32
28192,36 months,14.87,868.57,E,5 years,MORTGAGE,124895.52,Charged Off,credit_card,18.22,5,728,729,1,35523,1.18,16,19
11761,36 months,13.53,685.0,C,2 years,OWN,178858.27,Charged Off,credit_card,21.42,6,683,743,5,19770,63.32,45,47
2858,36 months,9.12,591.15,D,5 years,OTHER,102240.26,Charged Off,small_business,16.29,8,736,643,1,5458,0.03,46,3
37196,60 months,18.4,632.57,C,9 years,OTHER,93630.51,Default,home_improvement,11.47,1,686,606,2,32946,71.54,42,39
12754,60 months,12.73,688.15,D,9 years,RENT,26402.1,Charged Off,home_improvement,17.61,0,739,821,7,47643,8.03,34,28
19989,60 months,19.08,539.51,G,3 years,MORTGAGE,111690.45,Default,home_improvement,8.84,6,709,757,6,4164,98.07,47,31
4150,36 months,12.48,724.98,B,1 year,MORTGAGE,108376.06,Default,credit_card,25.49,3,645,810,6,8829,98.46,44,40
34497,60 months,17.13,896.85,E,8 years,OTHER,89046.02,Charged Off,home_improvement,21.56,4,838,669,6,34149,11.02,22,18
34165,60 months,10.69,586.88,E,1 year,RENT,78726.17,Default,credit_card,12.93,0,630,802,4,27360,66.6,16,37
37410,36 months,13.53,363.76,C,10+ years,OWN,131924.36,Fully Paid,small_business,16.23,1,629,611,2,26192,11.5,32,1
28478,60 months,18.97,283.55,F,2 years,MORTGAGE,70310.36,Charged Off,debt_consolidation,3.92,1,612,623,1,47547,76.34,11,30
38573,60 months,13.41,448.77,A,< 1 year,RENT,118194.35,Fully Paid,credit_card,6.41,9,781,804,7,24852,70.67,15,41
20965,60 months,23.48,882.06,G,9 years,MORTGAGE,168658.92,Charged Off,major_purchase,14.88,1,757,788,4,21037,10.95,43,20
25957,60 months,18.72,174.03,F,< 1 year,RENT,146230.05,Default,major_purchase,0.04,5,821,723,7,7030,89.48,16,32
6196,36 months,17.73,722.44,B,3 years,OWN,180153.18,Charged Off,small_business,11.64,3,619,746,7,26932,73.95,20,11
3759,60 months,21.16,110.79,B,< 1 year,OTHER,46870.37,Charged Off,small_business,3.99,6,760,720,6,27539,39.52,16,11
27012,60 months,24.27,747.83,B,8 years,OTHER,77540.51,Default,small_business,5.46,6,830,828,5,25670,61.35,9,21
9663,36 months,23.11,293.39,G,10+ years,OTHER,94499.07,Charged Off,credit_card,7.1,5,774,683,6,13964,37.79,25,24
18600,36 months,13.88,205.72,G,8 years,OWN,21769.42,Charged Off,credit_card,19.89,3,703,633,0,42294,91.15,49,21
7559,60 months,19.98,237.07,C,5 years,OWN,185104.93,Default,credit_card,15.24,2,808,777,5,29678,48.52,30,48
13001,36 months,17.7,50.5,G,8 years,MORTGAGE,169909.57,Fully Paid,credit_card,6.74,0,711,779,4,31005,14.55,47,19
8151,36 months,17.74,451.49,E,8 years,MORTGAGE,135450.97,Charged Off,home_improvement,8.56,2,840,698,2,36982,25.95,27,26
1057,60 months,24.78,940.74,D,6 years,OWN,72823.19,Charged Off,major_purchase,23.75,1,819,765,1,30395,73.32,43,30
27881,36 months,23.0,207.64,E,6 years,RENT,61107.71,Default,debt_consolidation,28.75,1,675,761,0,1868,62.26,24,33
3603,36 months,8.31,720.68,F,< 1 year,OTHER,144904.23,Fully Paid,debt_consolidation,13.82,1,714,747,2,30317,83.18,16,10
15186,60 months,17.98,661.99,B,4 years,OTHER,83794.09,Default,home_improvement,7.7,1,621,702,4,28451,11.1,12,30
34359,60 months,21.72,225.85,B,4 years,OTHER,23244.5,Charged Off,credit_card,14.08,6,681,799,8,24604,97.5,21,4
24922,60 months,9.49,466.03,E,6 years,OTHER,96239.56,Charged Off,major_purchase,29.98,7,675,723,6,39650,11.24,13,49
20468,60 months,21.55,419.77,A,4 years,OTHER,182304.47,Fully Paid,home_improvement,6.72,5,705,799,0,38578,29.55,38,2
33715,36 months,18.29,290.74,E,3 years,MORTGAGE,145350.06,Default,home_improvement,21.79,0,800,730,0,40736,4.54,26,6
30185,36 months,19.18,632.39,B,4 years,OWN,162407.68,Default,home_improvement,19.88,7,659,709,9,8416,60.7,20,6
18189,60 months,24.73,667.81,B,6 years,RENT,137377.87,Default,debt_consolidation,4.35,1,605,826,1,17467,40.21,44,1
9802,36 months,7.67,656.23,A,8 years,OWN,54751.69,Default,debt_consolidation,4.83,4,800,628,2,5206,22.0,48,1
14107,60 months,21.94,862.2,F,6 years,RENT,148760.94,Charged Off,small_business,5.47,8,676,847,3,41336,33.79,26,26
3809,36 months,15.77,288.5,D,3 years,MORTGAGE,109341.4,Charged Off,credit_card,21.44,9,739,677,0,16692,5.54,29,26
20933,36 months,13.0,67.97,F,6 years,RENT,42266.58,Charged Off,credit_card,0.7,3,750,713,5,20793,13.26,36,34
7737,36 months,16.05,265.44,B,8 years,MORTGAGE,191274.8,Default,debt_consolidation,4.76,9,651,680,8,40491,10.49,15,46
35200,36 months,21.57,469.29,A,4 years,MORTGAGE,172590.83,Default,small_business,2.56,2,837,615,1,21510,35.95,17,7
38505,60 months,11.61,928.44,G,10+ years,RENT,54233.18,Fully Paid,debt_consolidation,11.23,6,616,610,3,9233,58.83,48,4
33437,60 months,16.05,755.54,A,5 years,MORTGAGE,107510.5,Default,small_business,9.99,8,837,687,1,24414,78.28,26,7
21171,60 months,17.81,644.76,B,5 years,MORTGAGE,165936.75,Default,small_business,5.11,5,779,697,1,31252,48.42,44,9
33275,36 months,9.3,829.19,D,1 year,MORTGAGE,136553.02,Charged Off,debt_consolidation,1.48,5,718,728,9,33236,19.88,42,30
35662,60 months,5.89,323.67,F,3 years,OTHER,141532.89,Fully Paid,home_improvement,21.9,5,742,783,8,21549,45.28,20,22
18706,60 months,21.91,714.35,D,5 years,OTHER,140838.92,Charged Off,debt_consolidation,21.38,2,715,772,9,42187,62.41,12,29
39701,60 months,8.76,768.28,A,8 years,RENT,130123.21,Charged Off,credit_card,9.51,5,666,770,0,17853,13.45,20,6
11328,36 months,11.63,126.87,D,9 years,RENT,66631.46,Default,home_improvement,29.57,0,643,749,8,3439,14.03,46,2
38648,36 months,22.84,187.07,B,6 years,MORTGAGE,83537.8,Default,small_business,24.15,9,618,692,8,6857,73.32,17,28
15747,36 months,12.61,167.83,B,< 1 year,MORTGAGE,182500.3,Default,credit_card,18.46,3,743,810,8,18745,60.81,44,39
24074,36 months,22.74,265.83,F,7 years,MORTGAGE,110323.12,Charged Off,credit_card,17.39,5,669,796,8,19963,75.32,42,45
12497,36 months,22.71,694.2,F,9 years,OTHER,195929.77,Fully Paid,small_business,19.41,5,801,691,8,4503,30.82,27,3
22342,36 months,19.01,954.56,D,1 year,MORTGAGE,156649.0,Charged Off,small_business,16.46,6,701,812,4,43482,4.99,12,15
29408,60 months,9.35,667.89,F,10+ years,MORTGAGE,140775.06,Charged Off,home_improvement,22.52,0,822,684,4,8258,81.59,29,18
1682,60 months,23.48,449.55,D,< 1 year,RENT,171145.36,Default,major_purchase,9.86,6,721,777,0,34035,29.26,33,18
15479,36 months,10.14,759.26,G,8 years,MORTGAGE,145600.97,Fully Paid,major_purchase,29.93,8,721,820,3,20329,66.2,14,43
2386,60 months,8.74,586.44,C,5 years,MORTGAGE,108101.37,Charged Off,major_purchase,19.37,6,718,600,3,3395,15.31,11,40
28172,60 months,17.38,688.89,B,10+ years,OWN,106966.92,Charged Off,small_business,12.51,1,672,716,5,45908,36.27,27,38
3814,36 months,21.89,709.55,F,4 years,OTHER,167430.51,Charged Off,home_improvement,21.15,5,607,826,7,21783,16.97,25,4
19911,60 months,17.66,372.04,F,3 years,RENT,132269.29,Charged Off,small_business,19.17,1,750,641,5,27650,87.11,30,22
29064,36 months,13.32,889.78,E,6 years,OWN,196338.37,Default,major_purchase,28.24,2,664,764,0,31202,97.7,36,34
21357,36 months,13.22,571.39,A,< 1 year,OWN,152785.24,Charged Off,debt_consolidation,27.32,4,758,807,4,24779,90.06,13,32
7607,36 months,18.43,705.35,C,2 years,OTHER,166369.7,Charged Off,small_business,17.49,0,606,626,3,22167,84.64,33,13
13420,60 months,23.48,389.88,B,8 years,OWN,188470.56,Fully Paid,debt_consolidation,11.57,6,773,698,7,11923,10.56,28,35
18106,36 months,8.77,810.61,D,8 years,MORTGAGE,167601.28,Default,debt_consolidation,20.66,2,695,773,4,29633,15.31,46,18
37508,36 months,12.4,116.33,D,< 1 year,MORTGAGE,107301.56,Fully Paid,small_business,4.78,2,725,604,5,13329,21.5,43,46
26844,60 months,24.47,764.28,B,< 1 year,OWN,30413.43,Charged Off,debt_consolidation,28.73,8,625,807,6,12939,20.35,25,38
24502,36 months,9.86,176.11,G,2 years,MORTGAGE,172521.35,Default,small_business,13.49,7,845,725,0,49273,31.77,22,15
1068,60 months,11.58,126.67,A,2 years,OWN,75206.06,Fully Paid,credit_card,19.97,1,826,784,3,643,11.49,40,28
31354,36 months,24.05,754.84,E,10+ years,OTHER,114533.48,Default,major_purchase,11.68,4,685,702,5,42188,44.33,11,12
20641,36 months,20.75,905.39,F,4 years,RENT,90466.33,Charged Off,debt_consolidation,16.81,4,846,821,9,37577,56.02,25,44
28008,60 months,13.4,819.37,B,2 years,OTHER,177094.93,Default,credit_card,9.44,5,701,622,7,39827,85.93,22,45
6709,36 months,20.09,69.33,C,< 1 year,RENT,179747.07,Charged Off,major_purchase,25.95,6,813,840,5,30202,88.36,18,25
39720,36 months,5.24,665.72,E,7 years,OWN,139651.13,Charged Off,small_business,4.46,9,731,618,4,9060,14.77,35,37
26252,60 months,20.29,842.13,F,6 years,OWN,49968.89,Fully Paid,debt_consolidation,28.98,3,758,823,0,44597,30.26,9,20
31882,36 months,19.02,171.61,B,9 years,OTHER,40113.7,Charged Off,debt_consolidation,2.21,3,691,841,6,47500,70.51,6,21
2578,36 months,19.78,469.9,G,3 years,MORTGAGE,112151.94,Default,credit_card,0.74,8,698,681,3,49403,54.89,37,5
32235,60 months,16.39,377.56,D,8 years,MORTGAGE,164300.29,Charged Off,small_business,2.82,4,740,791,2,38616,44.75,13,36
36443,60 months,19.21,158.64,G,6 years,MORTGAGE,88763.73,Charged Off,home_improvement,20.78,8,616,643,9,23216,16.35,34,49
